!!id a e inc node peri ma epoch H 
332 47.6104 0.3455 2.1208 294.9352 358.0176 218.9567 53157.0 7.0
335 47.8032 0.2850 9.4662 321.8302 33.7153 188.9859 53157.0 7.0
335 47.9497 0.2639 9.9463 270.5424 65.0681 214.9017 53157.0 7.0
336 47.7191 0.1296 12.0176 84.4523 155.1596 71.8828 53157.0 7.0
337 47.6168 0.3032 5.8336 203.7625 314.8883 307.3435 53157.0 7.0
338 47.9067 0.2375 7.5212 326.8743 84.5747 200.2909 53157.0 7.0
339 47.9187 0.3108 10.0886 150.6285 88.0802 259.8526 53157.0 7.0
341 47.6521 0.3694 6.9110 141.2613 264.4584 352.1828 53157.0 7.0
343 47.7578 0.2479 9.8040 103.5887 280.7892 357.4682 53157.0 7.0
347 47.9288 0.2195 4.1657 60.1782 76.4649 127.9265 53157.0 7.0
349 47.9550 0.3366 16.3212 224.4922 121.7472 24.1821 53157.0 7.0
350 47.9518 0.2391 8.7850 325.0945 178.3081 112.5110 53157.0 7.0
351 47.6551 0.3490 5.9321 199.4957 182.9627 189.3405 53157.0 7.0
353 47.8304 0.3201 4.6866 86.1441 49.6037 308.0392 53157.0 7.0
357 47.7893 0.2668 8.0420 144.2978 184.1833 210.9398 53157.0 7.0
358 47.7780 0.2563 7.0634 26.3524 98.8673 134.2548 53157.0 7.0
359 47.9908 0.2305 3.1958 321.5844 106.6008 336.4673 53157.0 7.0
359 47.8773 0.3084 1.4653 186.4470 39.8013 99.0654 53157.0 7.0
360 47.9636 0.3161 4.8141 298.6724 323.1099 66.9722 53157.0 7.0
362 47.6866 0.1647 6.1912 319.7386 35.8027 37.4455 53157.0 7.0
362 47.8218 0.2356 6.9302 78.6493 226.5516 44.6161 53157.0 7.0
363 47.6546 0.2849 9.2140 305.7521 217.7361 120.1527 53157.0 7.0
363 47.9027 0.3040 7.1833 10.8274 307.2699 34.6607 53157.0 7.0
363 47.7463 0.1708 9.4882 50.4302 287.8607 215.8613 53157.0 7.0
365 47.6091 0.3553 14.8174 101.7741 55.3605 290.0486 53157.0 7.0
365 47.7262 0.3183 8.3189 337.9983 76.8693 163.9383 53157.0 7.0
366 47.8400 0.1698 1.6917 217.4830 9.5738 106.5030 53157.0 7.0
